imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0116991,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,492619.0,en,Mariette in Ecstasy,"In this forceful study of religious passion an extraordinary spiritual experience is placed in the center of a deftly evoked natural world, namely, rural upstate New York just after the turn of the century. At summer's end, when she is 17, Mariette Baptiste, educated daughter of the local doctor, enters the cloistered convent of Our Lady of the Afflictions as a postulant. Her religious fervor, understated but determined, makes an impact on the small community of nuns whose days and nights are measured in a round of prayer and farm work changing only with the seasons. Their ordered life is disrupted, however, as Mariette begins to fall into a series of trances from which she awakens with stigmata, which heal as spontaneously as they appear. The feelings of skepticism, jealousy and adoration evoked in the nuns, Mariette's own response and that of the Mother Superior are delicately, indelibly presented.",0.934,,"[{'id': 11308, 'logo_path': None, 'name': 'Savoy Pictures', 'origin_country': ''}, {'id': 23808, 'logo_path': None, 'name': 'Price Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-07-04,0.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Mariette in Ecstasy,0.0,0.0,0.0,PG-13
tt0143558,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,410363.0,hu,Apaföld,"Love makes a bad relationship between father and son all the more rancorous in this drama from Hungarian director Viktor Oszkar Nagy. A convict (Janos Derzsi) returns home after a long stretch in prison to a less than enthusiastic welcome; his son (Tamas Ravasz), now in his late teens, was left to fend for himself and tend the family farm on his own after his dad went away, and the youngster blames his father for his mother's untimely death. The father wants to mend his relationship with his son, but the young man makes no secret of his contempt for his dad, and only grudgingly allows him back on the farm.",1.106,/qXOn8BffDYMWvukI8rlatDrjAtT.jpg,"[{'id': 87855, 'logo_path': None, 'name': 'Mozinet', 'origin_country': ''}]","[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",2009-01-01,0.0,80.0,"[{'english_name': 'Hungarian', 'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Father's Acre,0.0,6.8,5.0,
tt0205380,0.0,/dcF1eyBqF2Cb9rGpmsduLjZTNKr.jpg,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,435199.0,hi,Sanam Teri Kasam,A love triangle forms after a male finds his best friend has married his sweetheart.,2.133,/w7DIEj2nry7MIIQzP0H89IZrspa.jpg,[],[],2009-05-06,0.0,170.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Sanam Teri Kasam,0.0,7.0,2.0,
tt0304876,0.0,/kqvRaWpJbyNsNBEwni6IuJo8XqK.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,231540.0,de,Unter Strom,"A comedy about relationships. A just-divorced couple, the wife's lover; a convicted criminal, his pregnant wife and his best friend; the economy minister and his secret lover; all parties are under stress in a hostage situation and surrounded by uncoordinated police troops.",0.6000000000000001,/5amXv6jk6tAXAbmid9JqyDFhd0q.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2009-12-10,0.0,81.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Live Wire,0.0,6.0,1.0,
tt0327597,0.0,/hofnlIyF6bePkgQOpcuRWLvzf15.jpg,,60000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",http://coraline.com/,14836.0,en,Coraline,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",258.557,/gPMh5rsVrDDAYMDbTcz6Up1DQ4z.jpg,"[{'id': 10146, 'logo_path': '/xnFIOeq5cKw09kCWqV7foWDe4AA.png', 'name': 'Focus Features', 'origin_country': 'US'}, {'id': 11537, 'logo_path': '/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png', 'name': 'Laika Entertainment', 'origin_country': 'US'}, {'id': 8915, 'logo_path': None, 'name': 'Pandemonium', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-02-05,124596398.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Be careful what you wish for.,Coraline,0.0,7.8,5724.0,PG
tt0344074,0.0,,,0.0,[],,277551.0,en,Mitsein,"Life takes a surprising turn for newly married and miserable bride Moksha (Smriti Mishra) when she visits an art gallery to distract her from her isolation and spies a painting of a woman who looks remarkably like her. As she searches for the artist whose brush appeared to capture her innermost feelings, she makes a series of unexpected discoveries about her true self, and the hopes and dreams she once had.",0.6000000000000001,,[],[],2009-07-17,0.0,,[],Released,,Mitsein,0.0,0.0,0.0,
tt0346631,0.0,/lRNx04avj1R9uKOR49TNWbzHKY9.jpg,,3700000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.bloodandbonemovie.com,22164.0,en,Blood and Bone,"In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",25.241,/4XoqjwKhqN3GlGt0fQtcY2OhkZq.jpg,"[{'id': 62556, 'logo_path': None, 'name': 'Remarkable Films', 'origin_country': 'US'}, {'id': 21899, 'logo_path': None, 'name': 'Michael Mailer Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-02-07,0.0,93.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Destroy your enemy,Blood and Bone,0.0,7.4,555.0,R
tt0353765,0.0,,,1885956.0,"[{'id': 35, 'name': 'Comedy'}]",,276865.0,es,Los muertos van deprisa,,0.986,/6NdguRwDMtXE6po8O7nWmc3Zub6.jpg,"[{'id': 112703, 'logo_path': None, 'name': 'Artemática, S.L.', 'origin_country': ''}, {'id': 112704, 'logo_path': None, 'name': 'Cinematógrafo Films, S.L.', 'origin_country': ''}, {'id': 10133, 'logo_path': None, 'name': 'Perro Verde Films', 'origin_country': ''}, {'id': 112705, 'logo_path': None, 'name': 'Postproducción Resonancia', 'origin_country': ''}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2009-03-13,403547.0,104.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Lost in Galicia,0.0,6.0,2.0,
tt0361748,0.0,/yVPcPk96E6Qffiyez2oJc7OKD2A.jpg,,70000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",,16869.0,en,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",83.326,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,"[{'id': 308, 'logo_path': '/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png', 'name': 'The Weinstein Company', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 59, 'logo_path': '/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png', 'name': 'A Band Apart', 'origin_country': 'US'}, {'id': 6817, 'logo_path': None, 'name': 'Zehnte Babelsberg Film', 'origin_country': 'DE'}, {'id': 6818, 'logo_path': None, 'name': 'Visiona Romantica', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-08-19,321457747.0,153.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Once upon a time in Nazi occupied France...,Inglourious Basterds,0.0,8.2,18624.0,R
