imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0122247,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,27743.0,en,Serial Killing 4 Dummys,"Casey Noland, a high school kid with no direction in life, decides to pursue the serial killing profession. Only problem...he can't bring himself to kill anybody. Will the help of a gothic chick named Sasha, he attempts to learn the ways of a mass murderer. Meanwhile, a real serial killer is at work in their town and Casey thinks he might know who the maniac is.",2.91,/um9riTrJCQblb38r6uAgzNsjYy6.jpg,[],[],2004-01-01,0.0,89.0,[],Released,,Serial Killing 101,0.0,5.6,11.0,
tt0146803,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,46730.0,en,"Goodnight, Joseph Parker","Unapologetically brash in dialogue and texture GOODNIGHT JOSEPH PARKER is the classic love story brought to a no-pleasantries bar room. Girl loves man who loves woman, woman isn't worth his time. Into that mix throw in a hopeless drunk with a good heart and weak stomach, a bartender who's more desperate than his customers and Steven Tyler as a shameless bad boy looking for a good time and fast woman. Powerful, gritty, hard hitting and raw.",1.4140000000000001,/qtyEI1LtqKVUdX0BDQj10SBFjWB.jpg,[],[],2004-10-01,0.0,0.0,[],Released,When there's no place left to go but home,"Goodnight, Joseph Parker",0.0,0.0,0.0,
tt0159290,0.0,/atFOPVD3AKSj16ImD1MJfIklf90.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,101917.0,nl,Bluebird,"Merel is a young girl with a lot of talent. She excels at school, is good on the springboard and is careful too. Her severely handicapped brother Kasper gets a lot of attention. Merel also has talent for singing. It is no surprise that she is asked for the school musical. But maybe Merel is a bit too convinced of herself. When people perform solos, she likes to sing along loudly. This doesn't fall on good ground though. People start ignoring her and she is getting bullied. All of the sudden Merel's life isn't that easy anymore, it will be hard to keep herself together.",0.869,/w53RY8kSG2cmsEhOV1bO0vFLEBt.jpg,"[{'id': 23946, 'logo_path': '/nMSb08CGf7EPLaY6SDlOknlS9ZP.png', 'name': 'NCRV', 'origin_country': 'NL'}, {'id': 4588, 'logo_path': None, 'name': 'Egmond Film & Television', 'origin_country': ''}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2004-04-10,0.0,77.0,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,"Merel, a talented young girl, is suddenly getting bullied at school.",Bluebird,0.0,6.0,7.0,
tt0167190,0.0,/605zFrAnWkCvZBz9YMKYepxlkli.jpg,"{'id': 17235, 'name': 'Hellboy Collection', 'poster_path': '/7zzD8uQ5fyC4slZF1ATMS6gtyHS.jpg', 'backdrop_path': '/3gDrNeP3ddD41Sv0nLAlKc8XA4E.jpg'}",66000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",,1487.0,en,Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon—Hellboy—has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",36.898,/kukfPWDRXVe7b4HFYMKnxKvMg18.jpg,"[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 497, 'logo_path': '/pMyhOBd3sCiLzBlmIopdJkcUFtn.png', 'name': 'Revolution Studios', 'origin_country': 'US'}, {'id': 552, 'logo_path': '/9dGdLfm3GteWeUDtD9c9tvlidUG.png', 'name': 'Dark Horse Entertainment', 'origin_country': 'US'}, {'id': 840, 'logo_path': None, 'name': 'Lawrence Gordon Productions', 'origin_country': ''}, {'id': 21497, 'logo_path': None, 'name': 'Starlite Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-02,99318987.0,122.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,From the Dark Side to Our Side.,Hellboy,0.0,6.7,5792.0,PG-13
tt0167456,0.0,/jyzuK6OgWzibgAblJzxANUHSZ2x.jpg,,57000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.thunderbirdsmovie.com,14623.0,en,Thunderbirds,"Dangerous missions are the bread and butter of the Thunderbirds, a high-tech secret force employed by the government. Led by Jeff Tracy (Bill Paxton), the Thunderbirds are at the top of their game, but their nemesis, The Hood (Ben Kingsley), has landed on their island and is attempting a coup by using the team's rescue vehicles. He'll soon discover that the Thunderbirds won't go down.",11.093,/1jH0vADEIvuRlkvJzLUW5nVO96d.jpg,"[{'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}, {'id': 12362, 'logo_path': None, 'name': 'Tracy Films', 'origin_country': ''}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}]",2004-07-23,28283637.0,95.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Thunderbirds,0.0,5.0,240.0,PG
tt0170508,0.0,/4256bqKuLtNv75IEwyHMZ2LSQ5o.jpg,,0.0,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",,56943.0,it,Il resto di niente,"Set in the 1790s, this historical drama follows the travails of an idealistic noblewoman who helps lead a daring revolution in Italy.",1.3599999999999999,/qpQS7Bt04DquLB4wwLrOl0gAWm0.jpg,"[{'id': 51454, 'logo_path': None, 'name': 'Factory', 'origin_country': ''}, {'id': 83636, 'logo_path': None, 'name': 'Film Corsari', 'origin_country': ''}, {'id': 14016, 'logo_path': '/snclwsIZQbgvqYCBJP8fqNlCA5y.png', 'name': 'MiBAC', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2004-09-11,0.0,103.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,The Remains of Nothing,0.0,6.3,13.0,
tt0177882,0.0,/s2XyJwZ2nmtbCT8ZE3oPlm0yq1j.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",,2004.0,de,Kebab Connection,"In Hamburg, Ibrahim ""Ibo"" Secmez, of Turkish descent, wants to direct the first German kung-fu movie. For now, he makes commercials for his uncle's kebab restaurant. Titzie, an aspiring actress and Ibo's German girlfriend, finds she's pregnant. Ibo is uncertain about fatherhood - compounded by his father's disowning him for getting a German girl pregnant - so Titzie sends him packing. He makes attempts at getting it right, but as the birth approaches, he's still not ready. In the background are three thugs in search of good tripe soup and a Capulet-Montegue feud between the kebab joint and a Greek taverna across the street. Can Ibo be the glove upon that hand?",6.111,/8pgbRb69LxSaQi0BqVVjNMHIErE.jpg,"[{'id': 204, 'logo_path': None, 'name': 'Wüste Filmproduktion', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2004-04-21,0.0,96.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}, {'english_name': 'Greek', 'iso_639_1': 'el', 'name': 'ελληνικά'}]",Released,,Kebab Connection,0.0,6.5,50.0,
tt0198013,0.0,,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,245127.0,en,29 and Holding,"Mike Lesley and Jeff Smith are turning 30 and believe their care-free days are about to be over. Mike is the likeable slacker of the two. He is a substitute teacher who works well with kids, but would rather live on the golf course than be working. This infuriates his scheming long-time girlfriend, Cathy, and his banker father, Jack. They both want Mike to become a banker at Jack's office. Cathy's anger at Mike's inability to commit to the job drives her into another man's bed in an act of spite. Finding her in ""the act"" shocks Mike into a life crisis he's never faced before. In stark contrast to Mike is his high-strung friend, Jeff, who is a conservative pharmaceutical representative whose traditional nature finds him struggling with the values of modern society",0.6000000000000001,/2QzUq2rw4gsSVLtKlUPV4PVDADW.jpg,[],[],2004-10-14,0.0,89.0,[],Released,,29 and Holding,0.0,0.0,0.0,
tt0202360,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]",,108480.0,en,Frost,"When Anita, the police commissioner's wife, is found dead and disfigured in the bathtub, Lieutenant Braque initiates an all-out manhunt to find the commissioner.",1.514,,"[{'id': 18365, 'logo_path': None, 'name': 'Frost, Gladstone Mediaservice', 'origin_country': ''}, {'id': 18366, 'logo_path': None, 'name': 'Atlantis Media', 'origin_country': ''}]","[{'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-12-30,0.0,139.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Frost,0.0,1.0,1.0,
