imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
0,,,,,,,,,,,,,,,,,,,,,,,,,
tt0035423,0.0,/hfeiSfWYujh6MKhtGTXyK3DD4nN.jpg,,48000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",,11232.0,en,Kate & Leopold,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",12.012,/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg,"[{'id': 85, 'logo_path': None, 'name': 'Konrad Pictures', 'origin_country': ''}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-12-25,76019048.0,118.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,If they lived in the same century they'd be perfect for each other.,Kate & Leopold,0.0,6.3,1106.0,PG-13
tt0114447,0.0,,,0.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",,151007.0,en,The Silent Force,An elite Federal force whose objective is to eliminate organized crime is violently assassinated by an evil Asian crime lord. The sole survivor of the group teams up with his late partner's widow to strike back at the crime lord and his son.,1.4,/u0njmfXD3dXxQfeykBHBuFQOYqD.jpg,[],[],2001-01-01,0.0,90.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,They left him for dead... They should have finished the job,The Silent Force,0.0,5.0,3.0,
tt0118589,0.0,/bLntSfsqUheiUirdV9Ts8znqsTM.jpg,,22000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",,10696.0,en,Glitter,"A young woman is catapulted into pop stardom, with her already-famous DJ boyfriend calling the shots.",7.519,/388ru0R7fnBFPaVuJe4caRGGh54.jpg,"[{'id': 89627, 'logo_path': None, 'name': 'Glitter Productions', 'origin_country': ''}, {'id': 89628, 'logo_path': None, 'name': 'Maroon Entertainment', 'origin_country': ''}, {'id': 415, 'logo_path': None, 'name': 'Laurence Mark Productions', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-09-21,5271666.0,104.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In music she found her dream, her love, herself.",Glitter,0.0,4.6,115.0,PG-13
tt0118652,0.0,/mWxJEFRMvkG4UItYJkRDMgWQ08Y.jpg,,1000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",,17140.0,en,The Attic Expeditions,"Trevor Blackburn is accused of murdering his girlfriend, Faith, in a brutal ritual. He's sentenced to live in an experimental rehabilitation community and falls into a coma. When he wakes up, he meets the mysterious Dr. Ek, who tortures Trevor in an attempt to learn the whereabouts of a powerful occult book. As other patients start to disappear, Trevor begins to wonder who and where he really is.",5.397,/b0p8CjMLWc7B1nnIfFQ2uY3HLe0.jpg,"[{'id': 3260, 'logo_path': None, 'name': 'Tse Tse Fly Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-03-30,0.0,100.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,His search for peace of mind... will leave his mind in pieces.,The Attic Expeditions,0.0,5.1,28.0,R
tt0119004,0.0,/7xrlSPGDO4CDT6IHTctDlkYxTzw.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,37857.0,en,Don's Plum,A group of Los Angeles teenagers meet every day at their local diner hangout to discus their latest misadventures with their miserable lives,6.976,/qgN6jcBrAh4Ul5tHTylYM4gt8v8.jpg,[],"[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-02-10,6297.0,89.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Don's Plum,0.0,5.4,62.0,
tt0120166,0.0,/havCE85OV7FUMWzqAZ9x31XRRCA.jpg,,0.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,50944.0,en,The Sorcerer's Apprentice,"Every hundred years, the evil sorceress Morgana returns to claim Fingall's talisman from Merlin, with which she intends to destroy the world. For the last fourteen hundred years she has failed... now she intends to conquer all. Young Ben Clark moves with his parents to a new town, where he befriends his elderly magician neighbor, Milner. Ben has a natural talent for magic and wants to learn all that he can from this old man. Ben carries the same scar as the original staff-bearer 1,400 years before. Both Morgana and Milner, who is revealed to be Merlin, see this as a sign that this time, the battle between good and evil will be stronger and harder than ever. Ben must make his own choice between good and evil as he is drawn into a battle and must draw on his own spirit and magic to decide which path to follow and hence, the fate of the world as we know it.",4.585,/x1ZDLPgXlPvULLTlskjesrOZ9nP.jpg,"[{'id': 26857, 'logo_path': None, 'name': 'Peakviewing Productions', 'origin_country': ''}, {'id': 85989, 'logo_path': None, 'name': 'Peakviewing Transatlantic Plc', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2002-04-12,0.0,86.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Sorcerer's Apprentice,0.0,4.8,10.0,NR
tt0120624,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",,50230.0,pt,Camarate,"In 1980, a small plane carrying the Prime Minister, the Defense Minister and six others crashed during takeoff in Camarate, Portugal, killing all on board. The police investigation decided it was an accident caused by pilot error. But controversy raged for twenty years, and the Parliament investigated it no less than six times. Finally, in 2000, in response to a suit by the families of the survivors, the High Court had to decide whether to open a criminal investigation, or close the case forever.",1.427,/vOq1L7X1rsJ6R0PvP7eoOhtZe7V.jpg,"[{'id': 2846, 'logo_path': None, 'name': 'MGN Filmes', 'origin_country': 'PT'}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2001-04-30,0.0,100.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Camarate,0.0,7.3,6.0,
tt0120681,0.0,/xo2S7gRwCvWdVqM0Swv37yA2rzw.jpg,,35000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,768.0,en,From Hell,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,33.593,/t2WpWM8nBO4sULXr2bDfNEt4qgr.jpg,"[{'id': 476, 'logo_path': None, 'name': 'Underworld Entertainment', 'origin_country': ''}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2001-02-08,74558115.0,122.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Only the legend will survive.,From Hell,0.0,6.7,2284.0,R
tt0120737,0.0,/vRQnzOn4HjIMX4LBq9nHhFXbsSu.jpg,"{'id': 119, 'name': 'The Lord of the Rings Collection', 'poster_path': '/nSNle6UJNNuEbglNvXt67m1a1Yn.jpg', 'backdrop_path': '/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg'}",93000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://www.lordoftherings.net/,120.0,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",111.04,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"[{'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 11, 'logo_path': '/6FAuASQHybRkZUk08p9PzSs9ezM.png', 'name': 'WingNut Films', 'origin_country': 'NZ'}, {'id': 5237, 'logo_path': None, 'name': 'The Saul Zaentz Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-12-18,871368364.0,179.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,0.0,8.4,20888.0,PG-13
